X	rep	beta0	beta	q	sim_hash	sim_id	seed
X_bin_med	3	-4	1	3	af2f1a8dc6087ba6b0f8534df4a301cc	af2f1	717553
X_bin_med	3	-4	1	5	f5aeb1e207ce41d0e15aefd0463fb8a8	f5aeb	1006315
X_bin_med	3	-4	2	1	e14f4c8a1df0c9ed64e9429c7aff95c0	e14f4	922868
X_bin_med	3	-4	2	3	38f04053da06518d9b6a8f170983a6ee	38f04	233220
X_bin_med	3	-4	2	5	5b6d883eadf5e7a6406ea69a89c764c0	5b6d8	374488
X_bin_med	3	-4	4	1	cf048552e8cf1607492d6fb64e042900	cf048	847944
X_bin_med	3	-4	4	3	6487e69e2f2ef4355d8219d35239390e	6487e	411774
X_bin_med	3	-4	4	5	a4690de69b0da79b49230c0a6aadf6a9	a4690	673424
X_bin_med	3	-3	0.5	1	53e3dae4743282cf6c64044bb5493c82	53e3d	343613
X_bin_med	3	-3	0.5	3	c5bfbd49315a4cee3746eca833f0fb2e	c5bfb	809979
X_bin_med	3	-3	0.5	5	1719852f2479aa1712a5365541d02de9	17198	94616
X_bin_med	3	-3	1	1	3e869183edef8c493294153f3e47e736	3e869	256105
X_bin_med	3	-3	1	3	f347f81ff6b9cb31f20e227fa34b4221	f347f	996479
X_bin_med	3	-3	1	5	fea9fef4066ac1e235e22d6d3f20231f	fea9f	1043103
X_bin_med	3	-3	2	1	430d4a564ca57edaa705aa00cd1fb00e	430d4	274644
X_bin_med	3	-3	2	3	dc70e2af58ab5e3c532a17433ebcc2e4	dc70e	902926
X_bin_med	3	-3	2	5	05e1f58d9c706a26f76786cbcb7cdd94	05e1f	24095
X_bin_med	3	-3	4	1	0e4b700a7db5e74705dd700b888b48e4	0e4b7	58551
X_bin_med	3	-3	4	3	7833c34c75fed4466c8e153ed9c24d78	7833c	492348
X_bin_med	3	-3	4	5	62105f7ed0700cc7b4d7b3f1fbd34713	62105	401669
X_bin_med	3	-2	0.5	1	ff684654464bc2b1efb391050b9ead46	ff684	1046148
X_bin_med	3	-2	0.5	3	0e52da29b9948691b6d1e09fe4d4b2ab	0e52d	58669
X_bin_med	3	-2	0.5	5	8e82f9d7c4bbcda45a2f4eda75079f64	8e82f	583727
X_bin_med	3	-2	1	1	f39778c70fb5a12360b8f2f091950161	f3977	997751
X_bin_med	3	-2	1	3	2cfabbb7861f49735f763e184a8bba14	2cfab	184235
X_bin_med	3	-2	1	5	f26e84e602d037339ebb624a18ea15d3	f26e8	993000
X_bin_med	3	-2	2	1	f0fd034f6f8bb363e2f65d0d8c7a44da	f0fd0	987088
X_bin_med	3	-2	2	3	646d845587e4d24bb199b1b8780863c6	646d8	411352
X_bin_med	3	-2	2	5	616ff8aee2cd76bd270d6f2b6009e3ad	616ff	399103
